Name,Category 1,Nationality,Description,,
Nabilla Benattia,Autre domaine,France,influenceuse,,
Nagui,Autre domaine,France,animateur radio/tv,,
Naomi Campbell,Autre domaine,Other,mannequin,,
Neil Armstrong,Autre domaine,Other,astronaute,,
Nikos Aliagas,Autre domaine,France,animateur tv,,
Oprah Winfrey,Autre domaine,Other,animatrice tv,,
Pablo Escobar,Autre domaine,Other,narcotrafiquant ,,
Pablo Picasso,Autre domaine,Other,peintre,,
Philippe Etchebest,Autre domaine,France,chef cuisinier et animateur tv,,
Platon,Autre domaine,Other,philosophe,,
Salvador Dalí,Autre domaine,Other,peintre,,
Socrate,Autre domaine,Other,philosophe,,
Squeezie,Autre domaine,France,youtubeur ,,
Stéphane Bern,Autre domaine,France,animateur radio/tv,,
Stéphane Plaza,Autre domaine,France,"agent immobilier, animateur tv",,
Stéphane Rotenberg,Autre domaine,France,animateur tv,,
Stephen King,Autre domaine,Other,écrivain ,,
Steve Jobs,Autre domaine,Other,fondateur de Apple,,
Thomas Pesquet,Autre domaine,France,astronaute,,
Tibo InShape,Autre domaine,France,youtubeur ,,
Valérie Damidot,Autre domaine,France,animatrice tv,,
Victor Hugo,Autre domaine,France,écrivain,,
Vincent van Gogh,Autre domaine,Other,peintre,,
Voltaire,Autre domaine,France,écrivain et philosophe,,
William Shakespeare,Autre domaine,Other,dramaturge et poète,,
Yann Barthès,Autre domaine,France,animateur tv,,
Youri Gagarine,Autre domaine,Other,astronaute,,
Adam Driver,Cinema/Humour,Other,acteur,,
Adèle Exarchopoulos,Cinema/Humour,France,actrice,,
Ahmed Sylla,Cinema/Humour,France,humoriste et acteur,,
Al Pacino,Cinema/Humour,Other,acteur,,
Alain Chabat,Cinema/Humour,France,acteur,,
Alain Delon,Cinema/Humour,France,acteur,,
Alban Ivanov,Cinema/Humour,France,humoriste et acteur,,
Alfred Hitchcock,Cinema/Humour,Other,réalisateur ,,
Ana de Armas,Cinema/Humour,Other,actrice,,
Andrew Garfield,Cinema/Humour,Other,acteur,,
Angelina Jolie,Cinema/Humour,Other,actrice,,
Anne Hathaway,Cinema/Humour,Other,actrice,,
Antonio Banderas,Cinema/Humour,Other,acteur,,
Anya Taylor-Joy,Cinema/Humour,Other,actrice,,
Arnold Schwarzenegger,Cinema/Humour,Other,acteur et politicien,,
Artus (humoriste),Cinema/Humour,France,humoriste et acteur,,
Audrey Tautou,Cinema/Humour,France,actrice,,
Ben Affleck,Cinema/Humour,Other,acteur,,
Benedict Cumberbatch,Cinema/Humour,Other,acteur,,
Benoît Poelvoorde,Cinema/Humour,France,acteur,,
Blake Lively,Cinema/Humour,Other,actrice,,
Brad Pitt,Cinema/Humour,Other,acteur,,
Bradley Cooper,Cinema/Humour,Other,acteur,,
Bruce Willis,Cinema/Humour,Other,acteur,,
Bryan Cranston,Cinema/Humour,Other,acteur,,
Cameron Diaz,Cinema/Humour,Other,actrice,,
Camille Cottin,Cinema/Humour,France,actrice,,
Cate Blanchett,Cinema/Humour,Other,actrice,,
Catherine Deneuve,Cinema/Humour,France,actrice,,
Charlie Chaplin,Cinema/Humour,Other,acteur et réalisateur,,
Charlize Theron,Cinema/Humour,Other,actrice,,
Charlotte Gainsbourg,Cinema/Humour,France,actrice et chanteuse,,
Chris Pratt,Cinema/Humour,Other,acteur,,
Chris Hemsworth,Cinema/Humour,Other,acteur,,
Chris Evans,Cinema/Humour,Other,acteur,,
Christian Bale,Cinema/Humour,Other,acteur,,
Christian Clavier,Cinema/Humour,France,acteur,,
Christopher Nolan,Cinema/Humour,Other,réalisateur,,
Cillian Murphy,Cinema/Humour,Other,acteur,,
Clint Eastwood,Cinema/Humour,Other,acteur et réalisateur,,
Clovis Cornillac,Cinema/Humour,France,acteur,,
Coluche,Cinema/Humour,France,humoriste et acteur,,
Daniel Craig,Cinema/Humour,Other,acteur,,
Daniel Radcliffe,Cinema/Humour,Other,acteur (Harry Potter),,
Dany Boon,Cinema/Humour,France,humoriste et acteur,,
David Marsais,Cinema/Humour,France,humoriste et acteur,,
Demi Moore,Cinema/Humour,Other,actrice,,
Denzel Washington,Cinema/Humour,Other,acteur,,
Dwayne Johnson,Cinema/Humour,Other,acteur,,
Édouard Baer,Cinema/Humour,France,acteur,,
Élie Semoun,Cinema/Humour,France,humoriste et acteur,,
Emma Stone,Cinema/Humour,Other,actrice,,
Emma Watson,Cinema/Humour,Other,actrice (Harry Potter),,
Éric Judor,Cinema/Humour,France,humoriste et acteur,,
Eva Longoria,Cinema/Humour,Other,actrice,,
Eva Mendes,Cinema/Humour,Other,actrice,,
Ewan McGregor,Cinema/Humour,Other,acteur,,
Fabrice Éboué,Cinema/Humour,France,humoriste et acteur,,
Florence Foresti,Cinema/Humour,France,humoriste et actrice,,
Franck Dubosc,Cinema/Humour,France,humoriste et acteur,,
Franck Gastambide,Cinema/Humour,France,acteur et réalisateur,,
François Civil,Cinema/Humour,France,acteur,,
François Cluzet,Cinema/Humour,France,acteur,,
François Damiens,Cinema/Humour,France,humoriste et acteur,,
Gad Elmaleh,Cinema/Humour,France,humoriste et acteur,,
Gal Gadot,Cinema/Humour,Other,actrice,,
George Clooney,Cinema/Humour,Other,acteur,,
Gérard Darmon,Cinema/Humour,France,acteur,,
Gérard Depardieu,Cinema/Humour,France,acteur,,
Gérard Jugnot,Cinema/Humour,France,acteur,,
Gilles Lellouche,Cinema/Humour,France,acteur et réalisateur,,
Grégoire Ludig,Cinema/Humour,France,humoriste et acteur,,
Guillaume Canet,Cinema/Humour,France,acteur et réalisateur,,
Haroun (humoriste),Cinema/Humour,France,humoriste,,
Harrison Ford,Cinema/Humour,Other,acteur,,
Henry Cavill,Cinema/Humour,Other,acteur,,
Hugh Jackman,Cinema/Humour,Other,acteur,,
Idris Elba,Cinema/Humour,Other,acteur,,
Jackie Chan,Cinema/Humour,Other,acteur,,
Jake Gyllenhaal,Cinema/Humour,Other,acteur,,
Jamel Debbouze,Cinema/Humour,France,humoriste et acteur,,
James Cameron,Cinema/Humour,Other,réalisateur,,
James Franco,Cinema/Humour,Other,acteur,,
Jamie Foxx,Cinema/Humour,Other,acteur et chanteur,,
Javier Bardem,Cinema/Humour,Other,acteur,,
Jason Momoa,Cinema/Humour,Other,acteur,,
Jean Dujardin,Cinema/Humour,France,acteur,,
Jean Reno,Cinema/Humour,France,acteur,,
Jean-Claude Van Damme,Cinema/Humour,Other,acteur,,
Jean-Paul Belmondo,Cinema/Humour,France,acteur,,
Jean-Paul Rouve,Cinema/Humour,France,acteur,,
Jeff Panacloc,Cinema/Humour,France,ventriloque,,
Jennifer Aniston,Cinema/Humour,Other,actrice,,
Jennifer Lawrence,Cinema/Humour,Other,actrice,,
Jérémy Ferrari,Cinema/Humour,France,humoriste,,
Jérôme Commandeur,Cinema/Humour,France,humoriste et acteur,,
Jessica Chastain,Cinema/Humour,Other,actrice,,
Jim Carrey,Cinema/Humour,Other,acteur,,
Jim Parsons,Cinema/Humour,Other,acteur,,
Joaquin Phoenix,Cinema/Humour,Other,acteur,,
Johnny Depp,Cinema/Humour,Other,acteur,,
Jonathan Cohen,Cinema/Humour,France,humoriste et acteur,,
José Garcia,Cinema/Humour,France,acteur,,
Josiane Balasko,Cinema/Humour,France,actrice,,
Jude Law,Cinema/Humour,Other,acteur,,
Julia Roberts,Cinema/Humour,Other,actrice,,
Kad Merad,Cinema/Humour,France,acteur,,
Kate Winslet,Cinema/Humour,Other,actrice,,
Keanu Reeves,Cinema/Humour,Other,acteur (Matrix),,
Kev Adams,Cinema/Humour,France,humoriste et acteur,,
Kristen Stewart,Cinema/Humour,Other,actrice,,
Kyan Khojandi,Cinema/Humour,France,humoriste et acteur,,
Laurent Lafitte,Cinema/Humour,France,acteur,,
Léa Seydoux,Cinema/Humour,France,actrice,,
Leïla Bekhti,Cinema/Humour,France,actrice,,
Leonardo DiCaprio,Cinema/Humour,Other,acteur,,
Liam Neeson,Cinema/Humour,Other,acteur,,
Lily-Rose Depp,Cinema/Humour,Other,actrice,,
Louis de Funès,Cinema/Humour,France,acteur,,
