Name,Category 1,Nationality,Description,,
Eden Hazard,Sport,Other,footballeur,,
Eliud Kipchoge,Sport,Other,marathonien,,
Emmanuel Petit,Sport,France,footballeur,,
Éric Cantona,Sport,France,footballeur,,
Esteban Ocon,Sport,France,pilote de F1,,
Evan Fournier,Sport,France,basketteur,,
Fabien Barthez,Sport,France,gardien de football,,
Fabien Galthié,Sport,France,entraineur de rugby,,
Fabio Quartararo,Sport,France,pilote de moto GP,,
Fabrice Santoro,Sport,France,tennisman,,
Fausto Coppi,Sport,Other,cycliste,,
Félix Lebrun,Sport,France,pongiste,,
Ferenc Puskás,Sport,Other,footballeur,,
Fernando Alonso,Sport,Other,pilote de F1,,
Florent Manaudou,Sport,France,nageur,,
"Floyd Mayweather, Jr.",Sport,Other,boxeur,,
Franck Ribéry,Sport,France,footballeur,,
Frank Lampard,Sport,Other,joueur et entraineur de football,,
Frédéric Michalak,Sport,France,rugbyman,,
Gaël Monfils,Sport,France,tennisman,,
Gareth Bale,Sport,Other,footballeur,,
Gerard Piqué,Sport,Other,footballeur,,
Gianluigi Buffon,Sport,Other,gardien de football,,
Giánnis Antetokoúnmpo,Sport,Other,basketteur,,
Gilles Simon,Sport,France,tennisman,,
Harry Kane,Sport,Other,footballeur,,
Henri Leconte,Sport,France,tennisman,,
Hugo Lloris,Sport,France,gardien de football,,
Iga Świątek,Sport,Other,tenniswoman,,
Iker Casillas,Sport,Other,gardien de football,,
Jack Sock,Sport,Other,tennisman ,,
Jacques Anquetil,Sport,Other,cycliste,,
James Rodríguez,Sport,Other,footballeur,,
Jannik Sinner,Sport,Other,tennisman,,
Jean-Pierre Papin,Sport,France,footballeur,,
Jimmy Vicaut,Sport,France,sprinteur,,
Jo-Wilfried Tsonga,Sport,France,tennisman,,
Joakim Noah,Sport,France,basketteur,,
Johan Cruyff,Sport,Other,footballeur,,
Johannes Thingnes Bø,Sport,Other,biathlète,,
John McEnroe,Sport,Other,tennisman,,
Jonah Lomu,Sport,Other,rugbyman,,
Jonas Vingegaard,Sport,Other,cycliste,,
Jonny Wilkinson,Sport,Other,rugbyman,,
José Mourinho,Sport,Other,entraineur de football,,
Juan Manuel Fangio,Sport,Other,pilote de F1,,
Jude Bellingham,Sport,Other,footballeur,,
Julian Alaphilippe,Sport,France,cycliste,,
Jürgen Klopp,Sport,Other,entraineur de football,,
Khabib Nurmagomedov,Sport,Other,combattant de MMA,,
Katie Ledecky,Sport,Other,nageuse,,
Karim Benzema,Sport,France,footballeur,,
Kelly Slater,Sport,Other,surfeur,,
Kevin De Bruyne,Sport,Other,footballeur,,
Kevin Durant,Sport,Other,basketteur,,
Kevin Mayer,Sport,France,décathlonien,,
Kobe Bryant,Sport,Other,basketteur,,
Kylian Mbappé,Sport,France,footballeur,,
Lance Armstrong,Sport,Other,cycliste,,
Lando Norris,Sport,Other,pilote de F1,,
Laure Manaudou,Sport,France,nageuse,,
Laurent Blanc,Sport,France,entraineur/joueur de football,,
Laurent Jalabert,Sport,France,cycliste,,
LeBron James,Sport,Other,basketteur,,
Léon Marchand,Sport,France,nageur ,,
Lewis Hamilton,Sport,Other,pilote de F1,,
Lilian Thuram,Sport,France,footballeur,,
Lindsey Vonn,Sport,Other,skieuse ,,
Lionel Messi,Sport,Other,footballeur,,
Lucas Pouille,Sport,France,tennisman,,
"Luis Suárez (football, 1987)",Sport,Other,,,
Luka Dončić,Sport,Other,basketteur,,
Luka Modrić,Sport,Other,footballeur,,
Manuel Neuer,Sport,Other,gardien de football,,
Marcel Cerdan,Sport,Other,boxeur,,
Marcel Desailly,Sport,France,footballeur,,
Marcel Hirscher,Sport,Other,skieur,,
Maria Sharapova,Sport,Other,tenniswoman,,
Marie-José Pérec,Sport,France,sprinteuse,,
Mario Balotelli,Sport,Other,footballeur,,
Mark Cavendish,Sport,Other,cycliste,,
Martin Fourcade,Sport,France,biathlète,,
Mary Pierce,Sport,France,tenniswoman,,
Mathieu van der Poel,Sport,Other,cycliste,,
Mats Wilander,Sport,Other,tennisman,,
Max Verstappen,Sport,Other,pilote de F1,,
Michael Jordan,Sport,Other,basketteur,,
Michael Phelps,Sport,Other,nageur,,
Michael Schumacher,Sport,Other,pilote de F1,,
Michel Platini,Sport,France,footballeur,,
Miguel Indurain,Sport,Other,cycliste,,
Mikaela Shiffrin,Sport,Other,nageuse,,
Mike Maignan,Sport,France,gardien de football,,
Mike Tyson,Sport,Other,boxeur,,
Mohamed Ali,Sport,Other,boxeur,,
Mohamed Salah,Sport,Other,footballeur,,
N'Golo Kanté,Sport,France,footballeur,,
Nadia Comăneci,Sport,Other,gymnaste,,
Naomi Osaka,Sport,Other,tenniswoman,,
Neymar,Sport,Other,footballeur,,
Nicolas Batum,Sport,France,basketteur,,
Nikola Karabatic,Sport,France,handballeur,,
Novak Djokovic,Sport,Other,tennisman,,
Olivier Giroud,Sport,France,footballeur,,
Patrice Évra,Sport,France,footballeur,,
Patrick Vieira,Sport,France,footballeur,,
Paul Pogba,Sport,France,footballeur,,
Paulo Dybala,Sport,Other,footballeur,,
Pelé,Sport,Other,footballeur,,
Pep Guardiola,Sport,Other,entraineur de football,,
Pete Sampras,Sport,Other,tennisman,,
Peter Sagan,Sport,Other,cycliste,,
Pierre Gasly,Sport,France,pilote de F1,,
Pierre-Emerick Aubameyang,Sport,Other,footballeur,,
Quentin Fillon Maillet,Sport,France,biathlète,,
Rafael Nadal,Sport,Other,tennisman,,
Raphaël Varane,Sport,France,footballeur,,
Raymond Poulidor,Sport,France,cycliste,,
Remco Evenepoel,Sport,Other,cycliste,,
Renaud Lavillenie,Sport,Other,sauteur à la perche,,
Richard Gasquet,Sport,France,tennisman,,
Richard Virenque,Sport,France,cycliste,,
Richie McCaw,Sport,Other,rugbyman,,
Robert Lewandowski,Sport,Other,footballeur,,
Robert Pirès,Sport,France,footballeur,,
Roger Federer,Sport,Other,tennisman,,
Romain Bardet,Sport,France,cycliste,,
Romain Grosjean,Sport,France,pilote de F1,,
Ronaldinho,Sport,Other,footballeur,,
Ronaldo,Sport,Other,footballeur,,
Ronnie O'Sullivan,Sport,Other,joueur de snooker,,
Rudy Gobert,Sport,France,basketteur,,
Samuel Eto'o,Sport,Other,footballeur,,
Sebastian Vettel,Sport,Other,pilote de F1,,
Sébastien Chabal,Sport,France,rugbyman,,
Serena Williams,Sport,Other,tenniswoman,,
Sergio Ramos,Sport,Other,footballeur,,
Sidney Crosby,Sport,Other,hockeyeur sur glace,,
Simone Biles,Sport,Other,gymnaste,,
Shaquille O'Neal,Sport,Other,basketteur,,
Shohei Ohtani,Sport,Other,joueur de baseball,,
Stanislas Wawrinka,Sport,Other,tennisman,,
Stéfanos Tsitsipás,Sport,Other,tennisman,,
Stephen Curry,Sport,Other,basketteur,,
Steven Gerrard,Sport,Other,footballeur,,
Tadej Pogačar,Sport,Other,cycliste,,
Teddy Riner,Sport,France,judoka,,
Thierry Henry,Sport,France,footballeur,,
Thierry Dusautoir,Sport,France,rugbyman,,
Thomas Voeckler,Sport,France,cycliste,,
Tiger Woods,Sport,Other,golfeur,,
Tom Brady,Sport,Other,joueur de foot US,,
Toni Kroos,Sport,Other,footballeur,,
Tony Estanguet,Sport,France,kayakiste,,
Tony Hawk,Sport,Other,skateur,,
Tony Parker,Sport,France,basketteur,,
Tyson Fury,Sport,Other,boxeur,,
Ugo Humbert,Sport,France,tennisman,,
Usain Bolt,Sport,Other,sprinteur,,
Valentino Rossi,Sport,Other,pilote de moto GP,,
Venus Williams,Sport,Other,tenniswoman,,
Victor Wembanyama,Sport,France,basketteur,,
Vinícius Júnior,Sport,Other,footballeur,,
Wayne Gretzky,Sport,Other,hockeyeur sur glace,,
Wayne Rooney,Sport,Other,footballeur,,
Wilt Chamberlain,Sport,Other,basketteur,,
Wout van Aert,Sport,Other,cycliste,,
Yannick Noah,Sport,France,tennisman et chanteur,,
Youri Djorkaeff,Sport,France,footballeur,,
Zinédine Zidane,Sport,France,joueur et entraineur de football,,
Zlatan Ibrahimović,Sport,Other,footballeur,,
